ID,Nombre_proyecto,Tipo,Año,Ubicacion_depto,Ubicacion_municipio,Ubicacion_vereda,Clima_TdR,Subtipo_Koppen,Sistema_constructivo,Subsistemas,E1_bioclimatica,E2_energia,E3_agua,E4_materiales,Estandares_ref,Cumplimiento_observado,Genero_inclusion,Estado,Verificable,Fuente_principal,Archivo_fuente,URL_fuente,Tipo_fuente,Lecciones_aprendidas,Observaciones,Estado_validacion,Motivo_descarte,Fecha_validacion,Validado_por
CAS-001,Palafito VIVA – tipología afro Urabá,contemporaneo,2013,Antioquia,Necoclí / Turbo / Apartadó,,calido_humedo,Af,palafito-madera,integral,Cubierta a dos aguas con altura para confort bioclimático; zaguán cubierto; ventilación cruzada por planta abierta,,Tanque de almacenamiento de aguas lluvia recolectadas por cubierta; pozo séptico,Madera de la región de Urabá para cerramientos y muros; basamento de concreto,MP-02; MP-14; MW-08; SUDS-1; A-FL-1; GM-A1,MW-08/SUDS-1: capta y almacena agua lluvia pero no se reporta dimensionamiento ni tratamiento (PTALL) que exige MW-08,Vivienda explícitamente diseñada para población afrocolombiana de Urabá; reconoce diferenciación étnico-cultural en la tipología palafítica,Construido,publicacion,"Vivienda Nueva Rural en Antioquia (VIVA, 2014)",Vivienda-Nueva-Rural.pdf,https://es.scribd.com/document/379978680/Vivienda-Nueva-Rural,documento_proyecto,,,pendiente_revision,,,
CAS-002,Casa T1 VIVA – mestizos Antioquia,contemporaneo,2012,Antioquia,varias veredas (mestizos clima cálido),,calido_humedo,Aw,mamposteria-estructural,integral,Cubierta determina corredor frontal y posterior; espacios comunes en núcleo central; apertura al paisaje,,implícito (zona ropas / saneamiento individual),Bloque de concreto local; teja termoacústica,MP-02; MP-14; MP-11; A-M-1; L-E10,MP-11: cubierta termoacústica industrial sin información sobre SRI ni reflectividad; MW: no reporta estrategia hídrica activa,"Vivienda dirigida a familias campesinas mestizas; cocina y zona de ropas agrupadas (espacios donde se concentra trabajo doméstico no remunerado feminizado, L-E10)",Construido,publicacion,"Vivienda Nueva Rural en Antioquia (VIVA, 2014)",Vivienda-Nueva-Rural.pdf,https://es.scribd.com/document/379978680/Vivienda-Nueva-Rural,documento_proyecto,,,pendiente_revision,,,
CAS-003,Casa T2 VIVA – mestizos clima templado,contemporaneo,2013,Antioquia,varias veredas mestizas,,templado,Cfb,mamposteria-estructural,integral,Dos bloques con zona social central abierta al exterior por puertas corredizas; ventilación cruzada,,,Bloque de concreto; madera local para puertas/ventanas; teja termoacústica,MP-02; MP-14; A-M-1; GM-A1; L-E10,,Vivienda para familias campesinas mestizas en clima templado; servicios agrupados (cocina/lavado) sin diferenciación de roles documentada,Construido,publicacion,"Vivienda Nueva Rural en Antioquia (VIVA, 2014)",Vivienda-Nueva-Rural.pdf,https://es.scribd.com/document/379978680/Vivienda-Nueva-Rural,documento_proyecto,,,pendiente_revision,,,
CAS-004,Casa Madera-Aldeas EPM/VIVA,contemporaneo,2012,Antioquia,rural disperso,,templado,Cfb,madera-aserrada,integral,Estructura palafítica modular; dos corredores perimetrales para sombra y ventilación; adaptación a topografía,,,Madera aserrada de bosques EPM (aprovechamiento sostenible),MP-14; A-FL-1; A-M-1; GM-A1; A-R-1,A-FL-1: madera de bosques EPM presumida sostenible pero no se reporta SUNL/LOF/FSC explícito,Programa EPM-VIVA en madera de aprovechamiento sostenible; sin mención explícita de enfoque de género o étnico,Construido,publicacion,"Vivienda Nueva Rural en Antioquia (VIVA, 2014)",Vivienda-Nueva-Rural.pdf,https://es.scribd.com/document/379978680/Vivienda-Nueva-Rural,documento_proyecto,Programa de vivienda rural en madera liderado por EPM,,pendiente_revision,,,
CAS-005,Casa Mixta VIVA,contemporaneo,2013,Antioquia,rural disperso (mestizo clima templado),,templado,Cfb,mixto-mamposteria-madera,integral,Doble altura en sala-comedor para ventilación; corredor que conecta zonas; espacios intermedios,,,Bloque de concreto + madera de la región,MP-14; A-M-1; GM-A1; L-E05,,"Vivienda mestiza clima templado, doble altura sala-comedor adaptable a distintas configuraciones familiares",Construido,publicacion,"Vivienda Nueva Rural en Antioquia (VIVA, 2014)",Vivienda-Nueva-Rural.pdf,https://es.scribd.com/document/379978680/Vivienda-Nueva-Rural,documento_proyecto,,,pendiente_revision,,,
CAS-006,Vivienda Indígena Embera/Senú VIVA,contemporaneo,2013,Antioquia,Necoclí / Turbo / Apartadó / Dabeiba,,calido_humedo,Af,mixto-bloque-madera,integral,Dos módulos separados con cubierta a 4 aguas; ventanas y aperturas para iluminación y ventilación cruzada; entrepiso en palafito,,,Madera + bloque + teja termoacústica,MP-02; MP-14; L-E08; L-E12; PNVISR-1; A-M-1,Reconocimiento étnico explícito pero sin participación comunitaria documentada en diseño (vs L-E12 ideal),Vivienda diseñada para poblaciones indígenas Embera y Senú; tipología en dos módulos en L que se adapta a actividades comunitarias de cultivo y cuidado de animales según prácticas culturales,Construido,publicacion,"Vivienda Nueva Rural en Antioquia (VIVA, 2014)",Vivienda-Nueva-Rural.pdf,https://es.scribd.com/document/379978680/Vivienda-Nueva-Rural,documento_proyecto,,,pendiente_revision,,,
CAS-007,ETCR Charras (CNP-Marco Aurelio Buendía),contemporaneo,2017,Guaviare,San José del Guaviare,vereda Charras,calido_humedo,Af,mixto-acero-fibrocemento,integral,Cubiertas a dos aguas inclinadas; SIN aislante (limitación reportada),Plantas eléctricas diésel 190+140 KVA (no sostenible),PTAP propia con bocatoma y bombeo desde caño represado a tanque de 50.000 L,Materiales industriales prefabricados ligeros (limitación: poca durabilidad),RAS-1; RAS-2; S-AC-1; L-E04; L-E07; L-F14; PNVISR-1,Antiejemplo E2: dos plantas diésel 190+140 KVA en lugar de FNCE (incumple A-EM-8/L1715-1/CEELA C14); E1: cubierta inclinada sin aislante (incumple MP-08); déficit de baterías sanitarias para acceso equitativo a aseo personal,"57% hogares con jefatura femenina; mujeres jóvenes gestantes y lactantes; personas con movilidad restringida por la guerra; cooperativa de mujeres; población indígena (curripacos, cubeos, ticunas, sikuanis, guayaberos) y campesina excombatiente; 25% niños y niñas",Construido,publicacion,"Habitat Para La Paz (PUJ, 2021)",Habitat-Para-La-Paz.pdf,https://es.scribd.com/document/515781543/Habitat-Para-La-Paz,documento_proyecto,ANTIEJEMPLO útil: muestra qué evitar en reasentamientos rurales (no autosuficiencia energética; envolvente sin masa térmica),Discutir si entra a M2 como caso o como referencia negativa,pendiente_revision,,,
CAS-008,Casa pubenense / vivienda misak Guambía,vernaculo,s.f.,Cauca,Silvia,Resguardo indígena de Guambía,frio,Cfb,bahareque,integral,Casa circular en bahareque con techo de paja; iluminación cenital por orificio en cumbrera; orientación cosmogónica E-O,,,Bahareque de tierra + guadua + paja; piedra en cimentación; tierra muy consistente para muros,MP-13; MP-09; L-E08; L-E12; L-F01; A-M-1,MP-13: muros de bahareque con tierra muy consistente cumplen función de inercia térmica pero sin parametrización (kJ/m²K),"Casa pubenense con dualidad simbólica mujer (Pishimisak)/hombre (Kallim) materializada en planta; rostro de mujer sobre cocina, rostro de hombre sobre sala; reconocimiento de género en cosmogonía y arquitectura misak",Construido,publicacion,"Calderón, Mosquera, Franco - Vivienda y cultura (U. del Valle / ICANH, 2022)",Vivienda+y+Cultura_Digital.pdf,https://publicaciones.icanh.gov.co/index.php/picanh/catalog/view/131/304/2854,documento_proyecto,,,pendiente_revision,,,
CAS-009,Maloca y maloquita VISR Monilla Amena (uitoto),mixto,2009,Amazonas,Leticia,parcialidad Jusy Monilla Amena,calido_humedo,Af,madera,integral,Planta circular o rectangular sobre tierras altas; cubierta cónica/cuatro aguas en hojas de palma de caraná para ventilación y sombra,,,Hoja de palma caraná; madera de la región seleccionada por la comunidad,L-E08; L-E12; L-F01; PNVISR-1; GM-S1; A-FL-1,"PNVISR-3: VISR entregada con instalaciones hidrosanitarias y eléctricas pero sin conexión municipal — baño, ducha y lavaplatos no han podido usarse después de 2 años",Vivienda indígena uitoto parcialidad Jusy Monilla Amena; participación de la comunidad en diseño y suministro de materiales (mano de obra y subcontratistas locales); construcción tradicional por hombre cabeza de familia con apoyo de su esposa,Construido,publicacion,"Calderón, Mosquera, Franco - Vivienda y cultura (U. del Valle / ICANH, 2022)",Vivienda+y+Cultura_Digital.pdf,https://publicaciones.icanh.gov.co/index.php/picanh/catalog/view/131/304/2854,documento_proyecto,VISR construida en 2009 que conserva estética y materiales tradicionales,,pendiente_revision,,,
CAS-010,Casa jaataka' ette (Sierra Nevada SO),vernaculo,s.f.,Magdalena,territorio ette,suroccidente Sierra Nevada de Santa Marta,calido_seco,BSh,bahareque,integral,Caballete alineado eje E-O; techo de 4 vértices y 3-4 m de alto para alivio térmico; entrada única para inercia y privacidad climática; muros sin ventanas,,,Maderas duras locales (Aspidosperma; Astronium; Platymiscium); palma jukka ennaka para techos; caña Guadua amplexifolia,L-E08; L-E12; L-F01; A-FL-1; A-M-1; MP-13,MP-15: muros sin ventanas + masa térmica favorecen inercia y night flush pero no se reporta medición de oscilación térmica,"Casa jaataka' considerada femenina y propiedad de las mujeres; los partos generalmente ocurren en su interior; división de trabajo constructivo por género (hombres construyen, mujeres preparan alimentos y bebidas); pueblo indígena ette de la Sierra Nevada",Construido,publicacion,"Calderón, Mosquera, Franco - Vivienda y cultura (U. del Valle / ICANH, 2022)",Vivienda+y+Cultura_Digital.pdf,https://publicaciones.icanh.gov.co/index.php/picanh/catalog/view/131/304/2854,documento_proyecto,,,pendiente_revision,,,
CAS-011,Ranchería wayúu tradicional (Alta Guajira),vernaculo,s.f.,La Guajira,Uribia,Cabo de la Vela / Alta Guajira,calido_seco,BWh,bahareque,integral,Cocina abierta y ventilada con muros media altura para protección de viento/arena; muros de la miichi sin vanos para inercia/privacidad; conjunto disperso para microclima,,Ollas de barro de cuello estrecho para almacenar agua,Yotojoro (corazón seco del cactus cardón) tejido para techos y muros; barro confinado,L-E08; L-E12; L-E10; L-F01; A-M-1; SUDS-4,,Cocina (kusi'napia) como elemento femenino integrador; mujeres wayúu como tejedoras (espacios anu'ú dedicados a sus telares); roles diferenciados de género en producción y vida ritual; pueblo indígena wayúu,Construido,publicacion,"Calderón, Mosquera, Franco - Vivienda y cultura (U. del Valle / ICANH, 2022)",Vivienda+y+Cultura_Digital.pdf,https://publicaciones.icanh.gov.co/index.php/picanh/catalog/view/131/304/2854,documento_proyecto,,,pendiente_revision,,,
CAS-012,Vivienda anfibia tradicional La Mojana (zenú/malibú),vernaculo,s.f.,Sucre / Bolívar / Córdoba / Antioquia,Majagual / San Marcos / San Benito Abad / Magangué / Ayapel / Nechí,caño Camajón (Sucre) como caso particular,calido_humedo,Aw,palafito-madera,integral,Pilotes/horcones de madera para elevar sobre nivel de inundación; cubierta de palma amarga; ventilación generosa por planta abierta y entorno arborizado; canales en espina de pescado para drenaje,,Adaptación al ciclo lluvia/sequía con almacenamiento natural; relación directa con caño/río,Maderas rollizas locales; palma amarga / palma de vino para cubierta; esterilla de palma para cerramiento,L-E08; L-E12; L-F01; PNVISR-1; A-FL-1; A-M-1,PNVISR/RAS: vivienda anfibia tradicional cumple adaptación a inundaciones pero queda fuera de los proyectos tipo del DNP que estandarizan palafitos sin diferenciar Caribe/Pacífico/Amazonas,Comunidades anfibias zenú y malibú; población vulnerable históricamente al margen de servicios básicos; autoconstrucción colectiva de saberes anfibios transmitidos generacionalmente,Construido,publicacion,"Calderón, Mosquera, Franco - Vivienda y cultura (U. del Valle / ICANH, 2022)",Vivienda+y+Cultura_Digital.pdf,https://publicaciones.icanh.gov.co/index.php/picanh/catalog/view/131/304/2854,documento_proyecto,,,pendiente_revision,,,
